,DriverID,Location,Cluster,Time[Increments of 15]
0,685,30.259 -97.73899999999999,8,1
1,685,30.267 -97.755,8,15
2,685,30.214000000000002 -97.751,1,22
3,1432,30.254 -97.77600000000001,1,5
4,1432,30.209 -97.81,12,52
5,1432,30.203000000000003 -97.66799999999999,3,69
6,3795,30.418000000000003 -97.74799999999999,2,1
7,3795,30.401 -97.723,13,4
8,4430,30.304000000000002 -97.727,5,7
9,3795,30.3 -97.728,5,12
10,3795,30.302 -97.721,5,13
11,3795,30.291 -97.74600000000001,5,74
12,1991,30.26 -97.68799999999999,17,0
13,1991,30.26 -97.72,17,5
14,1991,30.261999999999997 -97.742,8,7
15,1991,30.267 -97.738,8,13
16,1991,30.269000000000002 -97.74600000000001,8,62
17,1991,30.256999999999998 -97.80799999999999,12,63
18,1991,30.268 -97.742,8,69
19,1991,30.203000000000003 -97.667,3,80
20,1991,30.261 -97.76,8,84
21,1991,30.268 -97.743,8,86
22,1991,30.250999999999998 -97.744,8,87
23,1991,30.258000000000003 -97.73899999999999,8,88
24,1991,30.265 -97.73100000000001,8,89
25,4626,30.266 -97.742,8,91
26,3085,30.261999999999997 -97.723,17,3
27,654,30.485 -97.666,4,57
28,654,30.23 -97.712,17,77
29,3802,30.258000000000003 -97.73899999999999,8,0
30,3802,30.203000000000003 -97.66799999999999,3,39
31,3802,30.263 -97.741,8,53
32,3802,30.265 -97.743,8,62
33,3802,30.261 -97.741,8,79
34,311,30.25 -97.794,12,1
35,311,30.208000000000002 -97.79299999999999,12,81
36,1255,30.343000000000004 -97.764,19,4
37,1255,30.375 -97.726,13,58
38,3362,30.28 -97.75399999999999,8,1
39,3362,30.266 -97.74,8,6
40,3362,30.339000000000002 -97.553,9,15
41,2170,30.266 -97.741,8,41
42,2170,30.272 -97.744,8,68
43,2170,30.232 -97.759,1,79
44,4631,30.215999999999998 -97.79700000000001,12,1
45,4631,30.27 -97.74799999999999,8,4
46,4631,30.230999999999998 -97.8,12,6
47,4631,30.252 -97.749,8,11
48,4631,30.264 -97.744,8,85
49,4631,30.199 -97.839,12,87
50,4631,30.204 -97.984,0,90
51,4127,30.288 -97.745,5,1
52,4127,30.265 -97.736,8,12
53,4127,30.230999999999998 -97.781,12,24
54,3767,30.256999999999998 -97.76,8,20
55,3767,30.203000000000003 -97.666,3,61
56,1697,30.272 -97.73100000000001,8,1
57,1697,30.287 -97.74600000000001,5,3
58,1697,30.267 -97.74,8,4
59,1697,30.214000000000002 -97.699,3,6
60,1697,30.276999999999997 -97.751,8,8
61,1697,30.287 -97.743,5,11
62,1697,30.561 -97.681,4,54
63,1697,30.354 -97.727,11,86
64,4073,30.250999999999998 -97.75399999999999,1,7
65,4073,30.218000000000004 -97.738,1,10
66,4019,30.203000000000003 -97.66799999999999,3,2
67,4019,30.261 -97.738,8,5
68,4019,30.26 -97.73899999999999,8,9
69,4019,30.267 -97.74600000000001,8,12
70,4019,30.344 -97.669,11,17
71,4019,30.266 -97.743,8,71
72,1398,30.266 -97.74600000000001,8,2
73,1398,30.229 -97.863,10,57
74,1398,30.285 -97.73200000000001,5,62
75,4117,30.281 -97.741,5,1
76,4117,30.299 -97.742,5,46
77,3901,30.203000000000003 -97.667,3,55
78,4117,30.203000000000003 -97.66799999999999,3,62
79,4117,30.250999999999998 -97.749,8,75
80,942,30.27 -97.736,8,1
81,942,30.203000000000003 -97.667,3,55
82,942,30.26 -97.75,8,59
83,444,30.296 -97.741,5,1
84,444,30.369 -97.721,13,60
85,444,30.203000000000003 -97.667,3,66
86,444,30.33 -97.665,11,84
87,4747,30.357 -97.755,19,2
88,4747,30.284000000000002 -97.74,5,75
89,1078,30.256 -97.736,8,13
90,1078,30.354 -97.756,19,54
91,1078,30.429000000000002 -97.75399999999999,2,57
92,1078,30.459 -97.795,16,63
93,4278,30.245 -97.90799999999999,10,13
94,1249,30.213 -97.9,0,1
95,1249,30.329 -97.708,11,9
96,2229,30.256999999999998 -97.807,12,5
97,4137,30.203000000000003 -97.667,3,56
98,2250,30.24 -97.791,12,4
99,2250,30.27 -97.74,8,11
100,2250,30.284000000000002 -97.835,10,61
101,2250,30.255 -97.74799999999999,8,79
102,416,30.358 -97.73299999999999,19,2
103,3740,30.268 -97.74600000000001,8,58
104,416,30.264 -97.743,8,70
105,2935,30.381999999999998 -97.695,13,3
106,2935,30.234 -97.71600000000001,17,10
107,2935,30.296999999999997 -97.745,5,19
108,4576,30.267 -97.73700000000001,8,19
109,4576,30.217 -97.743,1,62
110,2776,30.319000000000003 -97.704,11,14
111,2776,30.264 -97.771,8,70
112,4775,30.325 -98.029,14,8
113,4775,30.203000000000003 -97.66799999999999,3,44
114,1519,30.261 -97.70700000000001,17,3
115,1519,30.318 -97.726,5,29
116,1519,30.226 -97.741,1,33
117,1519,30.226 -97.662,3,70
118,4481,30.236 -97.792,12,3
119,4481,30.271 -97.75299999999999,8,5
120,4481,30.433000000000003 -97.738,2,39
121,1817,30.203000000000003 -97.667,3,42
122,4481,30.203000000000003 -97.667,3,45
123,4481,30.299 -97.77600000000001,5,89
124,4481,30.284000000000002 -97.719,5,91
125,4481,30.281 -97.759,8,93
126,4847,30.266 -97.74700000000001,8,16
127,4847,30.351 -97.749,19,52
128,1808,30.28 -97.725,5,4
129,4352,30.266 -97.741,8,8
130,4641,30.261999999999997 -97.715,17,3
131,4641,30.265 -97.74700000000001,8,13
132,4641,30.253 -97.764,1,16
133,4641,30.315 -97.73299999999999,5,25
134,4641,30.386999999999997 -97.75299999999999,2,75
135,4641,30.421999999999997 -97.70200000000001,13,79
136,433,30.234 -97.711,17,3
137,433,30.256 -97.757,8,7
138,433,30.241 -97.715,17,12
139,475,30.27 -97.802,12,4
140,475,30.264 -97.743,8,78
141,475,30.305999999999997 -97.749,5,87
142,4642,30.283 -97.744,5,4
143,4642,30.219 -97.751,1,55
144,4642,30.185 -97.663,3,72
145,4642,30.214000000000002 -97.699,3,80
146,719,30.266 -97.74600000000001,8,5
147,4684,30.203000000000003 -97.666,3,6
148,4684,30.259 -97.68700000000001,17,11
149,4684,30.441999999999997 -97.771,16,16
150,4684,30.27 -97.751,8,90
151,3901,30.27 -97.74,8,13
152,3901,30.379 -97.74,2,72
153,610,30.253 -97.764,1,4
154,610,30.256999999999998 -97.72399999999999,17,13
155,610,30.233 -97.77799999999999,12,18
156,610,30.403000000000002 -97.72200000000001,13,58
157,610,30.436 -97.736,2,61
158,610,30.243000000000002 -97.764,1,80
159,3233,30.273000000000003 -97.757,8,4
160,3233,30.243000000000002 -97.73700000000001,1,53
161,3761,30.281999999999996 -97.74,5,56
162,3233,30.265 -97.73899999999999,8,58
163,3233,30.27 -97.743,8,59
164,3233,30.269000000000002 -97.772,8,60
165,3233,30.264 -97.744,8,76
166,3233,30.253 -97.712,17,88
167,3233,30.26 -97.758,8,89
168,4545,30.266 -97.74,8,6
169,4545,30.23 -97.835,12,8
170,4791,30.033 -97.65899999999999,15,11
171,4791,30.229 -97.76700000000001,1,77
172,4691,30.307 -97.726,5,7
173,4691,30.484 -97.79299999999999,16,17
174,4691,30.259 -97.74700000000001,8,66
175,4691,30.296 -97.736,5,75
176,4691,30.264 -97.744,8,80
177,1099,30.255 -97.75299999999999,8,4
178,1099,30.311999999999998 -97.66799999999999,11,36
179,1099,30.395 -97.75299999999999,2,55
180,1321,30.393 -97.848,6,7
181,1321,30.267 -97.73700000000001,8,15
182,1321,30.261999999999997 -97.774,8,22
183,1321,30.27 -97.749,8,69
184,1321,30.266 -97.73899999999999,8,79
185,4764,30.266 -97.736,8,5
186,1185,30.283 -97.708,17,16
187,4764,30.401999999999997 -97.749,2,53
188,1061,30.261999999999997 -97.723,17,16
189,1857,30.093000000000004 -97.87200000000001,0,11
190,1857,30.203000000000003 -97.667,3,34
191,4054,30.483 -97.68700000000001,4,6
192,4054,30.456999999999997 -97.815,16,13
193,4054,30.526999999999997 -97.845,7,15
194,4862,30.272 -97.755,8,93
195,2595,30.31 -97.765,5,21
196,4726,30.252 -97.743,8,6
197,4726,30.435 -97.697,13,15
198,4726,30.453000000000003 -97.824,16,45
199,4726,30.479 -97.835,16,60
