Cluster,Lat,Long
0,30.1716,-97.9274
1,30.23617241,-97.7547931
2,30.40547619,-97.74680952
3,30.20355072,-97.66994203
4,30.49946154,-97.679
5,30.29419672,-97.73909836
6,30.388,-97.858
7,30.53733333,-97.8465
8,30.26607317,-97.74604065
9,30.38075,-97.572
10,30.267,-97.864
11,30.33331818,-97.69931818
12,30.236125,-97.79929167
13,30.40119048,-97.71066667
14,30.31975,-97.98975
15,30.033,-97.659
16,30.46066667,-97.80191667
17,30.25045161,-97.71287097
18,30.1826,-97.7686
19,30.35021429,-97.76485714
