,RIDE_ID,started_on,completed_on,start_location_long,start_location_lat,distance_travelled,end_location_lat,end_location_long,active_driver_id,rider_id,base_fare,total_fare,rate_per_mile,rate_per_minute,time_fare,driving_time_to_rider,driver_id,car_id,make,model,year,start_date
1421903,1421903,2017-04-05 00:00:11+00:00,2017-04-05 00:21:31+00:00,-97.673,30.49,27991.0,30.259,-97.739,652327,27860,3.0,58.27,2.6,0.35,7.47,719.0,685,685,b'Dodge',b'Durango',b'2013',2017-04-05
1421904,1421904,2017-04-05 00:01:23+00:00,2017-04-05 00:17:04+00:00,-97.676,30.329,11735.0,30.394,-97.754,652198,153018,1.5,14.79,0.99,0.25,3.92,245.0,1212,1212,b'Ford',b'Taurus',b'2013',2017-04-05
1421905,1421905,2017-04-05 00:01:44+00:00,2017-04-05 00:09:16+00:00,-97.742,30.285,4194.0,30.271,-97.745,652252,46933,3.0,14.56,2.6,0.35,2.64,296.0,2333,2333,b'Nissan',b'Pathfinder',b'2011',2017-04-05
1421906,1421906,2017-04-05 00:01:46+00:00,2017-04-05 00:10:53+00:00,-97.754,30.393,3944.0,30.394,-97.727,651463,95362,1.5,8.29,0.99,0.25,2.28,251.0,4575,4575,b'Ford',b'Fusion',b'2013',2017-04-05
1421907,1421907,2017-04-05 00:01:47+00:00,2017-04-05 00:07:12+00:00,-97.752,30.395,2991.0,30.392,-97.765,652328,30587,1.5,6.76,0.99,0.25,1.35,349.0,4746,4746,b'BMW',b'3 Series',b'2011',2017-04-05
1421908,1421908,2017-04-05 00:02:07+00:00,2017-04-05 00:07:02+00:00,-97.746,30.266,1577.0,30.274,-97.752,652329,229301,1.5,6.06,0.99,0.25,1.23,110.0,3622,3622,b'Toyota',b'Camry Hybrid',b'2008',2017-04-05
1421909,1421909,2017-04-05 00:02:12+00:00,2017-04-05 00:21:15+00:00,-97.667,30.202,17791.0,30.265,-97.742,652330,252242,3.0,43.46,2.75,0.4,7.63,378.0,18,18,b'Lexus',b'ES 350',b'2015',2017-04-05
1421910,1421910,2017-04-05 00:02:18+00:00,2017-04-05 00:28:46+00:00,-97.693,30.354,25381.0,30.408,-97.852,652331,236107,1.5,25.99,0.99,0.25,6.62,234.0,1460,1460,b'Toyota',b'Camry',b'2016',2017-04-05
1421911,1421911,2017-04-05 00:02:32+00:00,2017-04-05 00:19:10+00:00,-97.744,30.265,16525.0,30.203,-97.667,652332,103024,3.0,40.29,2.75,0.4,6.65,80.0,1540,1540,b'Lexus',b'ES 300h',b'2013',2017-04-05
1421912,1421912,2017-04-05 00:02:37+00:00,2017-04-05 00:06:56+00:00,-97.848,30.184,2313.0,30.199,-97.839,652333,220065,1.5,6.06,0.99,0.25,1.08,423.0,3028,3028,b'Jeep',b'Cherokee',b'2016',2017-04-05
1421913,1421913,2017-04-05 00:02:44+00:00,2017-04-05 00:10:36+00:00,-97.763,30.263,2316.0,30.265,-97.745,651866,247388,1.5,6.96,0.99,0.25,1.97,241.0,3492,3492,b'Hyundai',b'Sonata',b'2013',2017-04-05
1421914,1421914,2017-04-05 00:02:50+00:00,2017-04-05 00:05:42+00:00,-97.742,30.275,822.0,30.281,-97.742,652334,171643,1.5,6.06,0.99,0.25,0.72,186.0,2679,2679,b'Toyota',b'Corolla',b'2012',2017-04-05
