Location,Longitude,Latitude,CS,PlugNumber
0,-97.9274,30.1716,0,0
1,-97.7547931,30.23617241,0,0
2,-97.74680952,30.40547619,1,1
3,-97.66994203,30.20355072,1,1
4,-97.679,30.49946154,0,0
5,-97.73909836,30.29419672,1,2
6,-97.858,30.388,0,0
7,-97.8465,30.53733333,0,0
8,-97.74604065,30.26607317,1,2
9,-97.572,30.38075,0,0
10,-97.864,30.267,0,0
11,-97.69931818,30.33331818,0,0
12,-97.79929167,30.236125,0,0
13,-97.71066667,30.40119048,0,0
14,-97.98975,30.31975,0,0
15,-97.659,30.033,0,0
16,-97.80191667,30.46066667,0,0
17,-97.71287097,30.25045161,0,0
18,-97.7686,30.1826,0,0
19,-97.76485714,30.35021429,0,0
