i,n,m,t,price
4747,5,5,75,0.850235078818357
3085,17,17,3,0.9656048693828799
654,17,17,77,1.0648275862068963
4626,8,8,91,0.9215686274509804
4117,5,5,46,0.6912265758091993
4631,8,8,85,0.7610071942446043
1432,12,12,52,0.7513816212199017
4127,12,12,24,1.018020315659907
1697,11,11,86,0.8017241379310345
3362,9,9,15,0.8390909090909091
4137,3,3,56,1.1663789964945617
685,1,1,22,0.8013422818791947
942,8,8,59,0.7721839519518889
4019,8,8,71,0.8364671814671816
2229,12,12,5,1.0388646288209609
1078,19,19,54,0.6783393501805054
3767,3,3,61,1.0406893820807508
311,12,12,81,0.7870192307692309
4278,10,10,13,0.8318644067796609
444,11,11,84,0.8251247920133111
3901,3,3,55,1.0558029366332304
1991,8,8,89,0.6842264150943396
2250,12,12,4,0.932394464310593
4430,5,5,7,1.1076534666780775
3795,5,5,74,0.8569499560160296
3802,8,8,53,0.8424242424242424
1249,0,0,1,1.0173699793043953
1255,13,13,58,1.0781311014453496
4073,1,1,7,0.8201117318435754
1398,10,10,57,0.8366083445491251
2170,8,8,68,0.8702205882352941
