,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i
m,0,1,2,3,4,5,6,8,9,10,11,12,13,14,17,18,19
n,,,,,,,,,,,,,,,,,
0,2.0,,,,,,,,,,,,,,,,
1,,6.0,,,,1.0,,,,,,,,,1.0,1.0,
2,,,2.0,,,,,,,,,,,,,,1.0
3,,,,3.0,,,,,,,,,,,1.0,,
4,,,,,2.0,,,,,,,,,,,,
5,,,,,,10.0,,1.0,,,,,,,3.0,,
6,,,,,,,2.0,,,,,,,,,,
8,,3.0,,,,4.0,,22.0,,,,,,,3.0,,
9,,,,,,,,,2.0,,,,,,,,
10,,,,,,,,,,1.0,,,,,,,
11,,,,,,1.0,,,,,2.0,,,,,,
12,,,,,,,,1.0,,,,4.0,,,,1.0,
13,,,,,,,,,,,,,1.0,,,,
14,,,,,,,,,,,,,,3.0,,,
17,,,,,,1.0,,2.0,,,,,,,6.0,,
18,,,,,,,,,,,,,,,,2.0,
19,,,,,,,,,,,,,,,,,4.0
