i,m,t
3085,17,3
4626,8,91
4117,5,46
4631,8,85
4119,8,67
4638,5,20
4127,12,24
1568,8,18
4641,2,75
4642,8,56
2595,5,21
4644,9,17
1061,17,16
4137,3,56
1078,2,56
1099,2,55
4684,8,90
4691,5,75
2648,8,22
610,8,81
4726,8,6
2170,8,68
4229,8,64
4747,5,75
654,17,77
4241,14,77
4753,17,8
3734,3,30
3740,8,58
4764,8,5
1697,8,88
3233,17,88
1185,17,16
4775,14,8
685,17,23
4781,8,92
3761,5,56
2229,12,5
4278,12,15
3767,3,61
4791,8,78
2747,5,17
2250,12,4
719,8,5
3795,5,74
2776,8,70
3802,8,53
2782,6,68
1249,14,5
1255,2,59
4840,8,16
1259,8,16
4847,8,54
1779,2,14
1780,17,19
248,3,88
4862,8,93
4352,8,8
3333,14,46
3848,2,22
1808,5,4
1817,3,42
3362,9,15
1321,8,69
311,12,81
3901,8,13
318,8,6
2880,12,9
1857,12,14
2377,2,13
4430,5,7
3421,5,13
3934,5,22
2911,6,8
3945,8,24
1398,12,59
2935,17,10
4481,5,89
3475,5,13
1432,12,52
4507,8,19
416,8,70
942,8,59
1454,5,13
433,17,12
4017,8,16
4019,8,71
444,17,86
4545,8,6
3521,8,17
1991,8,89
4054,9,9
475,5,87
4576,8,19
3554,8,16
3556,8,86
3047,17,49
4073,8,8
1519,3,70
