i,m,t,price
,,,
4747,5,75,0.850235079
,,,
3085,5,4,0.876002093
,,,
654,5,78,0.836050157
,,,
4626,8,91,0.921568627
,,,
4117,5,46,0.691226576
,,,
4631,8,85,0.761007194
,,,
1432,12,52,0.751381621
,,,
4127,8,1,0.897422545
,,,
1697,5,87,0.629590766
,,,
3362,8,1,0.897422545
,,,
4137,5,58,1.017369979
,,,
685,8,1,0.897422545
,,,
942,8,59,0.772183952
,,,
4019,8,71,0.836467181
,,,
2229,12,5,1.038864629
,,,
1078,8,13,1.026331717
,,,
3767,5,20,0.897554952
,,,
311,12,81,0.787019231
,,,
4278,10,13,0.831864407
,,,
444,8,1,0.897422545
,,,
3901,8,56,1.056976744
,,,
1991,8,89,0.684226415
,,,
2250,12,4,0.932394464
,,,
4430,5,7,1.107653467
,,,
3795,5,74,0.856949956
,,,
3802,8,53,0.842424242
,,,
1249,5,10,1.017369979
,,,
1255,5,5,1.017369979
,,,
4073,5,8,0.842342342
,,,
1398,10,57,0.836608345
,,,
2170,8,68,0.870220588
,,,
,,,27.17894487
