i,m,t,price
4747,5,75,0.850235078818357
3085,1,4,0.8564516129032257
654,5,78,0.8360501567398119
4626,8,91,0.9215686274509804
4117,5,46,0.6912265758091993
4631,8,85,0.7610071942446043
1432,12,52,0.7513816212199017
4127,8,1,0.8974225454037851
1697,5,87,0.6295907660020986
3362,8,1,0.8974225454037851
4137,3,56,1.1663789964945617
685,1,22,0.8013422818791947
942,8,59,0.7721839519518889
4019,8,71,0.8364671814671816
2229,12,5,1.0388646288209609
1078,8,13,1.0263317172901119
3767,5,20,0.8975549522073865
311,12,81,0.7870192307692309
4278,10,13,0.8318644067796609
444,8,1,0.8974225454037851
3901,3,55,1.0558029366332304
1991,8,89,0.6842264150943396
2250,12,4,0.932394464310593
4430,5,7,1.1076534666780775
3795,5,74,0.8569499560160296
3802,8,53,0.8424242424242424
1249,5,10,1.0173699793043953
1255,5,5,1.0173699793043953
4073,1,7,0.8201117318435754
1398,10,57,0.8366083445491251
2170,8,68,0.8702205882352941
