i,m,t
3085,8,4
4626,8,91
4117,5,46
4631,8,85
4119,8,67
4638,5,20
4127,8,26
1568,8,18
4641,5,77
4642,8,56
2595,5,21
4644,5,21
1061,8,17
4137,8,58
1078,5,56
1099,5,58
4684,8,90
4691,5,75
2648,8,22
610,8,81
4726,8,6
2170,8,68
4229,8,64
4747,5,75
654,5,78
4241,5,82
4753,8,9
3734,8,29
4764,8,5
1697,5,88
3233,8,89
1185,8,17
4775,5,14
685,8,23
4781,8,92
3761,5,56
2229,8,6
3767,8,63
4791,8,78
2747,5,17
2250,8,79
719,8,5
3795,5,74
2776,8,70
3802,8,53
2782,8,71
1249,8,7
1255,5,60
4840,8,16
1259,5,17
4847,5,54
1779,8,18
1780,8,21
248,8,90
4862,8,93
4352,8,8
3333,8,35
3848,5,24
1808,5,4
1817,5,45
3362,5,20
1321,8,69
311,8,82
3901,5,14
318,5,7
2880,8,10
1857,5,15
2377,8,13
4430,8,8
3421,5,13
3934,5,22
2911,5,12
3945,8,87
3956,5,23
1398,5,60
2935,5,11
4481,5,89
3475,8,14
1432,8,55
4507,8,19
416,8,70
942,8,59
1454,5,13
433,8,13
4017,8,16
4019,8,71
444,5,87
4545,5,7
3521,5,18
1991,8,89
4054,5,12
475,5,87
4576,8,19
3556,8,86
3047,8,50
4073,5,8
1519,5,73
