Cluster,Lat,Long,fl100
0,30.1716,-97.9274,0
1,30.23617241,-97.7547931,0
2,30.40547619,-97.74680952,0
3,30.20355072,-97.66994203,0
4,30.49946154,-97.679,0
5,30.29419672,-97.73909836,2
6,30.388,-97.858,0
7,30.53733333,-97.8465,0
8,30.26607317,-97.74604065,2
9,30.38075,-97.572,0
10,30.267,-97.864,0
11,30.33331818,-97.69931818,0
12,30.236125,-97.79929167,0
13,30.40119048,-97.71066667,0
14,30.31975,-97.98975,0
15,30.033,-97.659,0
16,30.46066667,-97.80191667,0
17,30.25045161,-97.71287097,0
18,30.1826,-97.7686,0
19,30.35021429,-97.76485714,0
