i,n,m,t
3085,17,8,3
4626,8,8,91
4117,5,5,46
4631,8,8,85
4119,8,8,67
4638,5,5,20
4127,12,8,24
1568,8,8,18
4641,2,5,75
4642,1,8,55
2595,5,5,21
4644,9,5,17
1061,17,8,16
4137,3,8,56
1078,19,5,54
1099,2,5,55
4684,8,8,90
4691,5,5,75
2648,8,8,22
610,1,8,80
4726,8,8,6
2170,8,8,68
4229,8,8,64
4747,5,5,75
654,17,5,77
4241,14,5,77
4753,17,8,8
3734,18,8,27
4764,8,8,5
1697,11,5,86
3233,8,8,89
1185,17,8,16
4775,14,5,8
685,1,8,22
4781,8,8,92
3761,5,5,56
2229,12,8,5
3767,3,8,61
4791,1,8,77
2747,11,5,16
2250,8,8,79
719,8,8,5
3795,5,5,74
2776,8,8,70
3802,8,8,53
2782,6,8,68
1249,0,8,1
1255,13,5,58
4840,8,8,16
1259,8,5,16
4847,19,5,52
1779,2,8,14
1780,17,8,19
248,3,8,88
4862,8,8,93
4352,8,8,8
3333,8,8,35
3848,4,5,19
1808,5,5,4
1817,3,5,42
3362,9,5,15
1321,8,8,69
311,12,8,81
3901,8,5,13
318,8,5,6
2880,18,8,8
1857,0,5,11
2377,19,8,11
4430,5,8,7
3421,5,5,13
3934,19,5,20
2911,6,5,8
3945,8,8,87
3956,5,5,23
1398,10,5,57
2935,17,5,10
4481,5,5,89
3475,5,8,13
1432,12,8,52
4507,8,8,19
416,8,8,70
942,8,8,59
1454,5,5,13
433,17,8,12
4017,1,8,15
4019,8,8,71
444,11,5,84
4545,8,5,6
3521,8,5,17
1991,8,8,89
4054,4,5,6
475,5,5,87
4576,8,8,19
3556,8,8,86
3047,17,8,49
4073,1,5,7
1519,3,5,70
