i,n,m,t
3077,2,13,52
3085,17,1,3
1549,5,8,54
4626,8,8,91
4117,5,8,46
4630,3,17,70
4631,8,8,85
4119,8,17,67
4121,7,19,71
4638,5,8,20
4127,12,1,24
1568,8,17,18
4641,2,13,75
4642,1,17,55
2595,5,8,21
4644,9,13,17
1061,17,17,16
4137,3,17,56
47,11,19,81
4656,5,17,63
1078,19,19,54
1099,2,13,55
4684,8,17,90
4171,8,17,58
4691,5,17,75
3667,2,17,89
2648,8,8,22
610,1,8,80
2664,17,1,94
2670,5,19,59
3183,3,8,46
4726,8,17,6
2170,8,17,68
3196,17,8,63
3709,11,19,88
4229,8,8,64
4747,5,17,75
654,17,17,77
4241,14,8,77
4753,17,17,8
147,17,8,48
2709,4,19,53
3734,18,1,27
4758,11,13,85
3740,5,8,34
4764,8,8,5
1697,11,8,86
3233,17,1,88
1185,17,17,16
4257,12,1,80
4775,14,19,8
685,1,8,22
4781,8,17,92
3761,5,19,56
3249,3,17,79
2227,3,1,85
2229,12,1,5
4278,10,8,13
3767,3,8,61
4791,1,1,77
1719,12,17,79
2747,11,19,16
3273,5,8,74
2250,12,1,4
719,8,8,5
3795,5,8,74
3287,1,1,79
2776,8,1,70
3802,8,8,53
2782,6,8,68
1249,0,8,1
1765,3,8,85
1255,13,13,58
4840,8,17,16
1259,8,17,16
4847,19,19,52
1779,2,19,14
1780,17,17,19
1270,19,19,56
248,3,8,88
4860,17,13,88
3325,2,13,73
4862,8,1,93
4352,8,8,8
3843,5,17,76
3333,8,8,35
3848,4,19,19
2312,3,17,83
1801,2,13,80
4365,3,17,83
1808,5,19,4
1817,3,8,42
287,12,8,52
3362,9,8,15
1321,8,8,69
3369,3,17,38
311,12,19,81
3896,13,13,52
3901,8,1,13
318,8,17,6
1854,13,13,69
2880,18,8,8
1857,0,1,11
2377,19,13,11
843,11,1,56
4430,5,8,7
847,8,17,59
3421,5,17,13
3934,19,19,20
2911,6,8,8
3945,8,1,87
3439,4,13,56
3956,3,1,53
1398,10,1,57
2935,17,8,10
3960,3,17,51
4481,5,8,89
1922,8,17,90
2949,5,17,64
2954,3,17,57
3475,5,8,13
1432,12,8,52
4507,8,8,19
3487,5,17,56
416,8,17,70
3491,11,13,67
2475,4,19,91
942,8,8,59
1454,5,17,13
433,17,17,12
4017,1,8,15
4019,8,8,71
3505,13,19,52
444,11,13,84
956,8,8,69
4545,8,8,6
3521,8,1,17
3012,1,1,74
1991,8,1,89
4054,4,19,6
1494,11,17,69
475,5,8,87
4576,8,8,19
3041,8,8,59
3554,1,8,15
3556,8,8,86
3047,17,17,49
4073,1,17,7
3049,8,1,90
1516,8,17,59
1519,3,17,70
2033,5,8,88
1523,14,17,48
2553,0,19,82
