i,n,m,t,,,
,,,,,,
4747,5,5,75,,0,9
,,,,,0,
3085,17,8,3,,1,
,,,,,0,
654,17,8,77,,1,
,,,,,0,
4626,8,8,91,,0,
,,,,,0,
4117,5,5,46,,0,
,,,,,0,
4631,8,8,85,,0,
,,,,,0,
1432,12,12,52,,0,
,,,,,0,
4127,12,12,24,,0,
,,,,,0,
1697,11,8,86,,1,
,,,,,0,
3362,9,9,15,,0,
,,,,,0,
4137,3,3,56,,0,
,,,,,0,
685,1,12,22,,1,
,,,,,0,
942,8,8,59,,0,
,,,,,0,
4019,8,8,71,,0,
,,,,,0,
2229,12,12,5,,0,
,,,,,0,
1078,19,5,54,,1,
,,,,,0,
3767,3,3,61,,0,
,,,,,0,
311,12,12,81,,0,
,,,,,0,
4278,10,10,13,,0,
,,,,,0,
444,11,5,84,,1,
,,,,,0,
3901,3,3,55,,0,
,,,,,0,
1991,8,8,89,,0,
,,,,,0,
2250,12,12,4,,0,
,,,,,0,
4430,5,5,7,,0,
,,,,,0,
3795,5,5,74,,0,
,,,,,0,
3802,8,8,53,,0,
,,,,,0,
1249,0,10,1,,1,
,,,,,0,
1255,13,5,58,,1,
,,,,,0,
4073,1,12,7,,1,
,,,,,0,
1398,10,10,57,,0,
,,,,,0,
2170,8,8,68,,0,
