i,n,m,t
3085,17,17,3
4626,8,8,91
4117,5,5,46
4631,8,8,85
4119,8,8,67
4638,5,5,20
4127,12,12,24
1568,8,8,18
4641,2,2,75
4642,1,8,55
2595,5,5,21
4644,9,17,17
1061,17,17,16
4137,3,8,56
1078,19,2,54
1099,2,2,55
4684,8,8,90
4691,5,5,75
2648,8,8,22
610,1,17,80
4726,8,8,6
2170,8,8,68
4229,8,8,64
4747,5,5,75
654,17,17,77
4241,14,14,77
4753,17,17,8
3734,18,12,27
3740,8,8,58
4764,8,8,5
1697,11,5,86
3233,17,17,88
1185,17,17,16
4775,14,14,8
685,1,12,22
4781,8,8,92
3761,5,5,56
2229,12,12,5
4278,10,12,13
3767,3,17,61
4791,1,17,77
2747,11,5,16
2250,12,12,4
719,8,8,5
3795,5,5,74
2776,8,8,70
3802,8,8,53
2782,6,2,68
1249,0,14,1
1255,13,2,58
4840,8,8,16
1259,8,8,16
4847,19,2,52
1779,2,2,14
1780,17,17,19
248,3,17,88
4862,8,8,93
4352,8,8,8
3333,14,14,46
3848,4,8,19
1808,5,5,4
1817,3,17,42
3362,9,5,15
1321,8,8,69
311,12,12,81
3901,8,8,13
318,8,8,6
2880,18,8,8
1857,0,8,11
2377,19,2,11
4430,5,5,7
3421,5,5,13
3934,19,2,20
2911,6,12,8
3945,8,8,24
1398,10,12,57
2935,17,17,10
4481,5,5,89
3475,5,5,13
1432,12,12,52
4507,8,8,19
416,8,8,70
942,8,8,59
1454,5,5,13
433,17,17,12
4017,1,17,15
4019,8,8,71
444,11,17,84
4545,8,8,6
3521,8,8,17
1991,8,8,89
4054,4,2,6
475,5,5,87
4576,8,8,19
3554,1,17,15
3556,8,8,86
3047,17,17,49
4073,1,8,7
1519,3,17,70
